,IsRecentlyVerified,DateLastVerified,ID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,UsageTypeID,AddressInfo.ContactTelephone2,DateLastConfirmed
0,False,2016-06-04T02:56:00Z,39136,26,47647,178.0,EVnetNL AL798,0.00 jaarabonnement,"[{'ID': 42647, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2015-01-09T06:08:00Z,100,39482,Landstraat,Landstraat,Delfzijl,9934 EA,159,53.333005,6.923916,http://www.evnet.nl,0,,,
1,False,2016-06-04T02:56:00Z,65809,26,85775,73.0,EV-Box EVB-P1551082,0.00 jaarabonnement,"[{'ID': 90891, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90892, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:56:00Z,3.0,2016-04-27T09:42:00Z,100,66155,Marktstraat 10b,Marktstraat 10b,Delfzijl,9934 CK,159,53.33032,6.92864,http://www.ev-box.nl,0,,,
2,False,2016-06-04T02:56:00Z,65810,26,85773,73.0,EV-Box EVB-P1551070,0.00 jaarabonnement,"[{'ID': 90893, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90894, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:56:00Z,3.0,2016-04-27T09:42:00Z,100,66156,Handelskade Oost 11,Handelskade Oost 11,Delfzijl,9934 AR,159,53.33219,6.93881,http://www.ev-box.nl,0,,,
3,False,2016-06-04T02:37:00Z,68313,26,93818,157.0,NewMotion 03006572,0.00 jaarabonnement,"[{'ID': 95239, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:37:00Z,3.0,2016-06-04T02:37:00Z,100,68659,Piet Heinstraat 38,Piet Heinstraat 38,Delfzijl,9934 HM,159,53.3271262,6.9178201,http://thenewmotion.nl/,0,,,
4,False,2016-06-04T02:56:00Z,39139,26,21536,157.0,NewMotion 02000611,0.00 jaarabonnement,"[{'ID': 42650, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:56:00Z,3.0,2015-01-09T06:08:00Z,100,39485,Winterpeil 5,Winterpeil 5,Delfzijl,9933 DG,159,53.3386576,6.914856,http://thenewmotion.nl/,0,,,
5,False,2016-06-04T02:56:00Z,51078,26,66171,,Gorter Transport,0.00 onbekend,"[{'ID': 63144, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:56:00Z,3.0,2015-07-22T09:54:00Z,100,51424,Klaverweide 32,Klaverweide 32,Delfzijl,9932 JB,159,53.326592767944,6.8941354751587,,0,,,
6,False,2016-06-04T02:56:00Z,64214,26,73730,157.0,NewMotion ICUEVE000093,0.00 jaarabonnement,"[{'ID': 82148, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2016-03-03T12:33:00Z,100,64560,Hogelandsterweg 14,Hogelandsterweg 14,Delfzijl,9936 BH,159,53.3192549,6.92125190000002,http://thenewmotion.nl/,0,,,
7,False,2016-06-04T02:56:00Z,39131,26,21207,,Toyota Reker lolo smart,0.00 jaarabonnement,"[{'ID': 42642, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2015-01-09T06:08:00Z,100,39477,Farmsumerweg 25,Farmsumerweg 25,Appingedam,9902 BL,159,53.320396267773,6.8703992664814,http://www.toyota-reker.nl,0,,,
8,False,2016-06-04T02:56:00Z,39130,26,47833,178.0,EVnetNL DB0065,0.00 jaarabonnement,"[{'ID': 42641, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2015-01-09T06:08:00Z,100,39476,Overdiep 6,Overdiep 6,Appingedam,9902 BX,159,53.31888,6.859953,http://www.evnet.nl,0,,,
9,False,2016-06-04T02:37:00Z,68312,26,92766,157.0,NewMotion 03006626,0.00 jaarabonnement,"[{'ID': 95238, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:37:00Z,3.0,2016-06-04T02:37:00Z,100,68658,Fivelpoort 1,Fivelpoort 1,Appingedam,9902 SR,159,53.3031488,6.856694,http://thenewmotion.nl/,0,,,
10,False,2016-06-04T02:56:00Z,64208,26,76549,,Menoldalaan 12,0.00 per laadbeurt,"[{'ID': 82141, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:56:00Z,3.0,2016-03-03T12:33:00Z,100,64554,Menoldalaan 10,Menoldalaan 10,Slochteren,9627 PS,159,53.239235268217,6.837100982666,,0,,,
11,False,2016-06-04T02:56:00Z,39090,26,47480,178.0,EVnetNL AL636,0.00 jaarabonnement,"[{'ID': 42601, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2015-01-09T06:08:00Z,100,39436,Hoofdweg 10A,Hoofdweg 10A,Slochteren,9621 AA,159,53.219472,6.806738,http://www.evnet.nl,0,,,
12,False,2016-06-04T02:56:00Z,45517,26,61283,,Zeolyst CV,0.00 jaarabonnement,"[{'ID': 56150, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:56:00Z,3.0,2015-05-01T04:40:00Z,100,45863,Oosterhorn 36,Oosterhorn 36,Delfzijl,9936 HD,159,53.30761015915,6.9860252738818,http://www.zeolyst.com,0,,,
13,False,2016-06-04T02:55:00Z,38824,26,47143,178.0,EVnetNL AL291,0.00 jaarabonnement,"[{'ID': 42335, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:08:00Z,100,39170,Boslaan 6,Boslaan 6,Vlagtwedde,9561 LH,159,52.876104,7.076687,http://www.evnet.nl,0,,,
14,False,2016-06-04T02:55:00Z,38848,26,47109,178.0,EVnetNL AL256,0.00 jaarabonnement,"[{'ID': 42359, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:08:00Z,100,39194,Marktstraat 74T,Marktstraat 74T,Stadskanaal,9581 AD,159,52.930116,7.015363,http://www.evnet.nl,0,,,
15,False,2016-06-04T02:55:00Z,64134,26,74104,73.0,EV-Box EVB-P1423131,0.00 jaarabonnement,"[{'ID': 82035, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 5.0, 'CurrentTypeID': 10}, {'ID': 82036, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 5.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2016-03-03T12:33:00Z,100,64480,Sluisstraat 56,Sluisstraat 56,Stadskanaal,9581 JC,159,52.94519,6.99644,http://www.ev-box.nl,0,,,
16,False,2016-06-04T02:55:00Z,38890,26,34950,73.0,EV-Box EVB-P1335162,0.00 jaarabonnement,"[{'ID': 42401, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 49803, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 52225, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 5.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:08:00Z,100,39236,Tinnegieter 20,Tinnegieter 20,Stadskanaal,9502 EX,159,52.98251,6.97779,http://www.ev-box.nl,0,,,
17,False,2016-06-04T02:55:00Z,38889,26,22675,157.0,NewMotion 02002938,0.00 jaarabonnement,"[{'ID': 42400, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:08:00Z,100,39235,Ruiten A kanaal Oost III 4,Ruiten A kanaal Oost III 4,Vlagtwedde,9541 XX,159,52.9805793,7.1653335,http://thenewmotion.nl/,0,,,
